phase,block,trial_index,stimulus,expected,executed,correct
baseline,1,0,A1-left,^left,^left,1
baseline,1,1,A1-right,^right,^left,0
baseline,1,2,A1-left,^left,^right,0
baseline,1,3,A1-right,^right,,0
baseline,1,4,A1-right,^right,^left,0
baseline,1,5,A1-right,^right,,0
baseline,1,6,A1-left,^left,^right,0
baseline,1,7,A1-right,^right,^left,0
baseline,1,8,A1-right,^right,^right,1
baseline,1,9,A1-left,^left,^right,0
baseline,1,10,A1-left,^left,^right,0
baseline,1,11,A1-left,^left,,0
baseline,2,12,A1-right,^right,^right,1
baseline,2,13,A1-right,^right,^left,0
baseline,2,14,A1-right,^right,^left,0
baseline,2,15,A1-left,^left,^left,1
baseline,2,16,A1-right,^right,^right,1
baseline,2,17,A1-left,^left,^left,1
baseline,2,18,A1-left,^left,^right,0
baseline,2,19,A1-right,^right,^right,1
baseline,2,20,A1-left,^left,^right,0
baseline,2,21,A1-left,^left,^right,0
baseline,2,22,A1-right,^right,^left,0
baseline,2,23,A1-left,^left,^left,1
baseline,3,24,A1-left,^left,^left,1
baseline,3,25,A1-left,^left,^left,1
baseline,3,26,A1-left,^left,^right,0
baseline,3,27,A1-right,^right,^left,0
baseline,3,28,A1-right,^right,^left,0
baseline,3,29,A1-right,^right,^right,1
baseline,3,30,A1-right,^right,^right,1
baseline,3,31,A1-left,^left,^left,1
baseline,3,32,A1-left,^left,^right,0
baseline,3,33,A1-right,^right,^right,1
baseline,3,34,A1-right,^right,^left,0
baseline,3,35,A1-left,^left,,0
training,1,0,A1-right,^right,,0
training,1,1,A1-right,^right,^right,1
training,1,2,A1-left,^left,^right,0
training,1,3,A1-left,^left,^right,0
training,1,4,A1-left,^left,^left,1
training,1,5,A1-left,^left,^left,1
training,1,6,A1-left,^left,^left,1
training,1,7,A1-right,^right,^right,1
training,1,8,A1-right,^right,^right,1
training,1,9,A1-right,^right,^right,1
training,1,10,A1-left,^left,^left,1
training,1,11,A1-right,^right,^right,1
training,2,12,A1-left,^left,^left,1
training,2,13,A1-left,^left,^left,1
training,2,14,A1-right,^right,^right,1
training,2,15,A1-left,^left,^left,1
training,2,16,A1-right,^right,^right,1
training,2,17,A1-right,^right,^right,1
training,2,18,A1-right,^right,^right,1
training,2,19,A1-left,^left,^left,1
training,2,20,A1-left,^left,^left,1
training,2,21,A1-right,^right,^right,1
training,2,22,A1-left,^left,^left,1
training,2,23,A1-right,^right,^right,1
training,3,24,A1-left,^left,^left,1
training,3,25,A1-right,^right,^right,1
training,3,26,A1-right,^right,^right,1
training,3,27,A1-left,^left,^left,1
training,3,28,A1-left,^left,^left,1
training,3,29,A1-right,^right,^right,1
training,3,30,A1-right,^right,^right,1
training,3,31,A1-left,^left,^left,1
training,3,32,A1-right,^right,^right,1
training,3,33,A1-right,^right,^right,1
training,3,34,A1-left,^left,^left,1
training,3,35,A1-left,^left,^left,1
testing,1,0,A1-left,^left,^left,1
testing,1,1,A1-left,^left,^left,1
testing,1,2,A1-right,^right,^right,1
testing,1,3,A1-right,^right,^right,1
testing,1,4,A1-left,^left,^left,1
testing,1,5,A1-left,^left,^left,1
testing,1,6,A1-right,^right,^right,1
testing,1,7,A1-right,^right,^right,1
testing,1,8,A1-left,^left,^left,1
testing,1,9,A1-right,^right,^right,1
testing,1,10,A1-right,^right,^right,1
testing,1,11,A1-left,^left,^left,1
testing,2,12,A1-right,^right,^right,1
testing,2,13,A1-right,^right,^right,1
testing,2,14,A1-left,^left,^left,1
testing,2,15,A1-left,^left,^left,1
testing,2,16,A1-right,^right,^right,1
testing,2,17,A1-left,^left,^left,1
testing,2,18,A1-left,^left,^left,1
testing,2,19,A1-right,^right,^right,1
testing,2,20,A1-right,^right,^right,1
testing,2,21,A1-right,^right,^right,1
testing,2,22,A1-left,^left,^left,1
testing,2,23,A1-left,^left,^left,1
testing,3,24,A1-right,^right,^right,1
testing,3,25,A1-right,^right,^right,1
testing,3,26,A1-left,^left,^left,1
testing,3,27,A1-left,^left,^left,1
testing,3,28,A1-left,^left,^left,1
testing,3,29,A1-right,^right,^right,1
testing,3,30,A1-left,^left,^left,1
testing,3,31,A1-right,^right,^right,1
testing,3,32,A1-right,^right,^right,1
testing,3,33,A1-right,^right,^right,1
testing,3,34,A1-left,^left,^left,1
testing,3,35,A1-left,^left,^left,1
