phase,block,trial_index,stimulus,expectation,expected_op,executed,correct
baseline,1,0,A1-left,a1,^left,^left,1
baseline,1,1,A1-right,a1,^right,^left,0
baseline,1,2,A1-left,a1,^left,^left,1
baseline,1,3,A1-right,a1,^right,^left,0
baseline,1,4,A1-right,a1,^right,^left,0
baseline,1,5,A1-right,a1,^right,^left,0
baseline,1,6,A1-left,a1,^left,^left,1
baseline,1,7,A1-right,a1,^right,^left,0
baseline,1,8,A1-right,a1,^right,^left,0
baseline,1,9,A1-left,a1,^left,^left,1
baseline,1,10,A1-left,a1,^left,^left,1
baseline,1,11,A1-left,a1,^left,^left,1
baseline,2,12,A1-right,a1,^right,^right,1
baseline,2,13,A1-right,a1,^right,^left,0
baseline,2,14,A1-right,a1,^right,^left,0
baseline,2,15,A1-left,a1,^left,^left,1
baseline,2,16,A1-right,a1,^right,^left,0
baseline,2,17,A1-left,a1,^left,,0
baseline,2,18,A1-left,a1,^left,^left,1
baseline,2,19,A1-right,a1,^right,^right,1
baseline,2,20,A1-left,a1,^left,^right,0
baseline,2,21,A1-left,a1,^left,,0
baseline,2,22,A1-right,a1,^right,^right,1
baseline,2,23,A1-left,a1,^left,^left,1
training1,3,24,A1-left,a1,^left,^left,1
training1,3,25,A1-left,a1,^left,^left,1
training1,3,26,A1-left,a1,^left,^left,1
training1,3,27,A1-right,a1,^right,^right,1
training1,3,28,A1-right,a1,^right,^right,1
training1,3,29,A1-right,a1,^right,^right,1
training1,3,30,A1-right,a1,^right,^right,1
training1,3,31,A1-left,a1,^left,^left,1
training1,3,32,A1-left,a1,^left,^left,1
training1,3,33,A1-right,a1,^right,^right,1
training1,3,34,A1-right,a1,^right,^right,1
training1,3,35,A1-left,a1,^left,^left,1
training1,4,36,A1-right,a1,^right,^right,1
training1,4,37,A1-right,a1,^right,^right,1
training1,4,38,A1-left,a1,^left,^left,1
training1,4,39,A1-left,a1,^left,^left,1
training1,4,40,A1-left,a1,^left,^left,1
training1,4,41,A1-left,a1,^left,^left,1
training1,4,42,A1-left,a1,^left,^left,1
training1,4,43,A1-right,a1,^right,^right,1
training1,4,44,A1-right,a1,^right,^right,1
training1,4,45,A1-right,a1,^right,^right,1
training1,4,46,A1-left,a1,^left,^left,1
training1,4,47,A1-right,a1,^right,^right,1
training1,5,48,A1-left,a1,^left,^left,1
training1,5,49,A1-left,a1,^left,^left,1
training1,5,50,A1-right,a1,^right,^right,1
training1,5,51,A1-left,a1,^left,^left,1
training1,5,52,A1-right,a1,^right,^right,1
training1,5,53,A1-right,a1,^right,^right,1
training1,5,54,A1-right,a1,^right,^right,1
training1,5,55,A1-left,a1,^left,^left,1
training1,5,56,A1-left,a1,^left,^left,1
training1,5,57,A1-right,a1,^right,^right,1
