phase,block,term,frequency,confidence
baseline,1,<(<A1 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
baseline,1,<(<A1 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
baseline,1,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
baseline,1,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
baseline,2,<(<A1 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
baseline,2,<(<A1 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
baseline,2,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
baseline,2,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
training1,3,<(<A1 --> [left]> &/ ^left) =/> G>,1.000000,0.619887
training1,3,<(<A1 --> [right]> &/ ^right) =/> G>,1.000000,0.619887
training1,3,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
training1,3,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
training1,4,<(<A1 --> [left]> &/ ^left) =/> G>,1.000000,0.765346
training1,4,<(<A1 --> [right]> &/ ^right) =/> G>,1.000000,0.765346
training1,4,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
training1,4,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
training1,5,<(<A1 --> [left]> &/ ^left) =/> G>,1.000000,0.830290
training1,5,<(<A1 --> [right]> &/ ^right) =/> G>,1.000000,0.830290
training1,5,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
training1,5,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
training1,6,<(<A1 --> [left]> &/ ^left) =/> G>,1.000000,0.867078
training1,6,<(<A1 --> [right]> &/ ^right) =/> G>,1.000000,0.867078
training1,6,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
training1,6,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
testing1,7,<(<A1 --> [left]> &/ ^left) =/> G>,1.000000,0.867078
testing1,7,<(<A1 --> [right]> &/ ^right) =/> G>,1.000000,0.867078
testing1,7,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
testing1,7,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
testing1,8,<(<A1 --> [left]> &/ ^left) =/> G>,1.000000,0.867078
testing1,8,<(<A1 --> [right]> &/ ^right) =/> G>,1.000000,0.867078
testing1,8,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
testing1,8,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
training2,9,<(<A1 --> [left]> &/ ^left) =/> G>,0.800000,0.890758
training2,9,<(<A1 --> [right]> &/ ^right) =/> G>,0.800000,0.890758
training2,9,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
training2,9,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
training2,10,<(<A1 --> [left]> &/ ^left) =/> G>,0.666667,0.907277
training2,10,<(<A1 --> [right]> &/ ^right) =/> G>,0.666667,0.907277
training2,10,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
training2,10,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
training2,11,<(<A1 --> [left]> &/ ^left) =/> G>,0.571429,0.919456
training2,11,<(<A1 --> [right]> &/ ^right) =/> G>,0.571429,0.919456
training2,11,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
training2,11,<(<A2 --> [right]> &/ ^right) =/> G>,0.000000,0.000000
training2,12,<(<A1 --> [left]> &/ ^left) =/> G>,0.510638,0.927402
training2,12,<(<A1 --> [right]> &/ ^right) =/> G>,0.500000,0.928807
training2,12,<(<A2 --> [left]> &/ ^left) =/> G>,0.000000,0.000000
training2,12,<(<A2 --> [right]> &/ ^right) =/> G>,1.000000,0.241351
training2,13,<(<A1 --> [left]> &/ ^left) =/> G>,0.510638,0.927402
training2,13,<(<A1 --> [right]> &/ ^right) =/> G>,0.452830,0.935088
training2,13,<(<A2 --> [left]> &/ ^left) =/> G>,1.000000,0.241351
training2,13,<(<A2 --> [right]> &/ ^right) =/> G>,1.000000,0.690108
training2,14,<(<A1 --> [left]> &/ ^left) =/> G>,0.510638,0.927402
training2,14,<(<A1 --> [right]> &/ ^right) =/> G>,0.452830,0.935088
training2,14,<(<A2 --> [left]> &/ ^left) =/> G>,1.000000,0.690108
training2,14,<(<A2 --> [right]> &/ ^right) =/> G>,1.000000,0.805285
training2,15,<(<A1 --> [left]> &/ ^left) =/> G>,0.510638,0.927402
training2,15,<(<A1 --> [right]> &/ ^right) =/> G>,0.452830,0.935088
training2,15,<(<A2 --> [left]> &/ ^left) =/> G>,1.000000,0.805285
training2,15,<(<A2 --> [right]> &/ ^right) =/> G>,1.000000,0.858046
testing2,16,<(<A1 --> [left]> &/ ^left) =/> G>,0.510638,0.927402
testing2,16,<(<A1 --> [right]> &/ ^right) =/> G>,0.452830,0.935088
testing2,16,<(<A2 --> [left]> &/ ^left) =/> G>,1.000000,0.805285
testing2,16,<(<A2 --> [right]> &/ ^right) =/> G>,1.000000,0.858046
testing2,17,<(<A1 --> [left]> &/ ^left) =/> G>,0.510638,0.927402
testing2,17,<(<A1 --> [right]> &/ ^right) =/> G>,0.452830,0.935088
testing2,17,<(<A2 --> [left]> &/ ^left) =/> G>,1.000000,0.805285
testing2,17,<(<A2 --> [right]> &/ ^right) =/> G>,1.000000,0.858046
